 ,Angle,Length,Folder,Image,species,sex,stage,Comment,Roi
91,-113.96,0.72,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,male,adult,Birch Run,13113-24188
92,14.86,0.75,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,09803-22603
93,62.53,0.83,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,05765-25042
94,40.6,0.81,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,05870-25744
95,12.31,0.83,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,09053-25635
96,-158.37,0.92,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,10532-26338
97,-129.81,0.8,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,10728-25962
98,27.9,0.85,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,17830-26124
99,54.12,0.85,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,18133-26389
100,-43.7,0.92,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,18586-26013
101,-106.26,0.74,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,unclear,Birch Run,18041-26371
102,-75.14,0.75,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,unclear,Birch Run,18631-26463
103,-68.39,0.84,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,20894-26358
104,-66.54,0.85,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,19741-24396
105,-56.31,0.85,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,female,adult,Birch Run,18781-26873
106,-134.26,0.8,/Users/matthewsasaki/Desktop,img021.jpg,Skistodiaptomus pallidus,male,adult,Birch Run,18383-26837
